,train_session_type,test_session_type,subject_id,delta_mse,delta_evr
0,IM,IM,avatarRT_sub_05,-0.03704310239882125,
1,IM,WMP,avatarRT_sub_05,-0.019727447228866768,
2,IM,OMP,avatarRT_sub_05,0.003683842594503939,
3,IM,IM,avatarRT_sub_06,-0.25333952637212054,
4,IM,WMP,avatarRT_sub_06,0.10658170333796024,
5,IM,OMP,avatarRT_sub_06,-0.21964988661819707,
6,IM,IM,avatarRT_sub_07,-0.006082113179371573,
7,IM,WMP,avatarRT_sub_07,-0.006755429312531369,
8,IM,OMP,avatarRT_sub_07,0.006731616925762296,
9,IM,IM,avatarRT_sub_08,0.03705443569309197,
10,IM,WMP,avatarRT_sub_08,-0.034603765752457494,
11,IM,OMP,avatarRT_sub_08,-0.025384910688711626,
12,IM,IM,avatarRT_sub_10,-0.0875021991166266,
13,IM,WMP,avatarRT_sub_10,0.04617849114463446,
14,IM,OMP,avatarRT_sub_10,0.1009147712762255,
15,IM,IM,avatarRT_sub_11,-0.12209673196911719,
16,IM,WMP,avatarRT_sub_11,-0.005664749133339475,
17,IM,OMP,avatarRT_sub_11,-0.07445711157329482,
18,IM,IM,avatarRT_sub_13,-0.13835955388847954,
19,IM,WMP,avatarRT_sub_13,-0.010699119199948814,
20,IM,OMP,avatarRT_sub_13,0.030113930525252797,
21,IM,IM,avatarRT_sub_14,0.01360295256039834,
22,IM,WMP,avatarRT_sub_14,0.0907958505742058,
23,IM,OMP,avatarRT_sub_14,0.10042462030710642,
24,IM,IM,avatarRT_sub_15,0.07439946665803476,
25,IM,WMP,avatarRT_sub_15,0.21286163446755457,
26,IM,OMP,avatarRT_sub_15,0.07934581565571697,
27,IM,IM,avatarRT_sub_16,0.004211877328294977,
28,IM,WMP,avatarRT_sub_16,-0.1330766549413539,
29,IM,OMP,avatarRT_sub_16,0.14652832641946922,
30,IM,IM,avatarRT_sub_17,-0.01857838530797884,
31,IM,WMP,avatarRT_sub_17,-0.08013218320050441,
32,IM,OMP,avatarRT_sub_17,-0.044491139279677405,
33,IM,IM,avatarRT_sub_18,-0.1573313359962769,
34,IM,WMP,avatarRT_sub_18,0.19663081062185161,
35,IM,OMP,avatarRT_sub_18,0.11511049548196062,
36,IM,IM,avatarRT_sub_19,-0.01699730489366802,
37,IM,WMP,avatarRT_sub_19,0.3868593122975803,
38,IM,OMP,avatarRT_sub_19,-0.024885369685165637,
39,IM,IM,avatarRT_sub_21,0.07779530897976206,
40,IM,WMP,avatarRT_sub_21,0.08891040277638174,
41,IM,OMP,avatarRT_sub_21,-0.07077165017093123,
42,IM,IM,avatarRT_sub_22,0.1056462143393394,
43,IM,WMP,avatarRT_sub_22,-0.005324744326210329,
44,IM,OMP,avatarRT_sub_22,0.05698323383311077,
45,IM,IM,avatarRT_sub_23,0.09070183394524789,
46,IM,WMP,avatarRT_sub_23,0.04167015622954695,
47,IM,OMP,avatarRT_sub_23,0.043649094869925964,
48,IM,IM,avatarRT_sub_24,-0.04528807304113791,
49,IM,WMP,avatarRT_sub_24,0.013688172683462785,
50,IM,OMP,avatarRT_sub_24,0.05117708502184226,
51,IM,IM,avatarRT_sub_25,-0.017928940656471548,
52,IM,WMP,avatarRT_sub_25,-0.004930958379669059,
53,IM,OMP,avatarRT_sub_25,-0.1449122450747753,
