,subject_id,session_id,session_type,run,total_variance_readout_component,average_trialwise_variance_readout_component,variance_decoded_angles
2,avatarRT_sub_05,ses_02,IM,final-first,0.10488226012747726,0.03899515540314974,-0.003797225662795084
5,avatarRT_sub_05,ses_03,WMP,final-first,0.08407250104294889,0.004591120626336556,0.012133764252580836
8,avatarRT_sub_05,ses_04,OMP,final-first,0.010643034356733388,0.00021231624843577948,0.026603350235641643
11,avatarRT_sub_06,ses_02,IM,final-first,-0.001119567775228529,0.0126203188919106,0.0666989260597659
14,avatarRT_sub_06,ses_04,WMP,final-first,-0.002571404695424273,0.004651306692963625,-0.08501666703625178
17,avatarRT_sub_06,ses_03,OMP,final-first,-0.011378026742019973,-0.039136053142043034,-0.08465696021720731
20,avatarRT_sub_07,ses_02,IM,final-first,0.03985985418896042,0.0489311416561413,-0.021655314853190527
23,avatarRT_sub_07,ses_03,WMP,final-first,0.01145624384146604,-0.00874288013262798,-0.03588406384362544
26,avatarRT_sub_07,ses_04,OMP,final-first,0.004077914683066661,0.01924339423603033,0.020396781893972094
29,avatarRT_sub_08,ses_02,IM,final-first,-0.011993444485752465,-0.008592582250412303,-0.0427633548423154
32,avatarRT_sub_08,ses_04,WMP,final-first,0.049717319343369065,0.05756245930532518,-0.013668952554174024
35,avatarRT_sub_08,ses_03,OMP,final-first,0.01291019649679595,0.007478018250809848,-0.07787462951524496
38,avatarRT_sub_10,ses_02,IM,final-first,0.24622881416619408,0.18403873453389585,-0.02879339046527131
41,avatarRT_sub_10,ses_04,WMP,final-first,0.07064628482483823,0.0825540856493317,0.0034981627310548546
44,avatarRT_sub_10,ses_03,OMP,final-first,0.025684118013655957,0.011201448059224808,-0.021687546033651306
47,avatarRT_sub_11,ses_02,IM,final-first,0.01267593940588909,0.0058529613650062096,0.05949057027089906
50,avatarRT_sub_11,ses_03,WMP,final-first,-0.029407317976774455,-0.02378364820256848,0.0032685516564457673
53,avatarRT_sub_11,ses_04,OMP,final-first,0.03833862086170056,0.04451828947127688,0.00847942625146772
56,avatarRT_sub_13,ses_02,IM,final-first,-0.04218086290082025,-0.00727260147039633,-0.020173254957215447
59,avatarRT_sub_13,ses_03,WMP,final-first,0.021368060684512746,0.03556831477167782,0.12410594465700767
62,avatarRT_sub_13,ses_04,OMP,final-first,-0.23835393810056968,-0.15835143650184608,-0.17317799803376582
65,avatarRT_sub_14,ses_02,IM,final-first,-0.005800016649986556,-0.0037696483190165983,0.011846829656188329
68,avatarRT_sub_14,ses_04,WMP,final-first,0.01723066056708672,0.015780897745783784,-0.08639695031586364
71,avatarRT_sub_14,ses_03,OMP,final-first,-0.10391925324434528,-0.08594949050633549,-0.11562960317119012
74,avatarRT_sub_15,ses_02,IM,final-first,-0.04240489021474071,-0.012466671566652723,-0.09023928551924318
77,avatarRT_sub_15,ses_03,WMP,final-first,0.049624672921928334,0.039118182381858047,-0.051370397405626406
80,avatarRT_sub_15,ses_04,OMP,final-first,-0.045191310690292336,-0.04923057803811475,-0.010716591673615189
83,avatarRT_sub_16,ses_02,IM,final-first,-0.0019227061055770572,-0.0028103784393161413,-0.07401491688969947
86,avatarRT_sub_16,ses_04,WMP,final-first,-0.024344356521965593,-0.008345018595405443,-0.03622050796650067
89,avatarRT_sub_16,ses_03,OMP,final-first,0.016887434412507438,0.013722314105708941,-0.005868586734202333
92,avatarRT_sub_17,ses_02,IM,final-first,-0.031219393220494523,-0.015100879722507177,-0.08411820715643634
95,avatarRT_sub_17,ses_03,WMP,final-first,-0.016952504856682468,-0.011125723160606858,-0.00813989445073185
98,avatarRT_sub_17,ses_04,OMP,final-first,-0.07328393304004518,-0.07722379941812506,0.06914072586258428
101,avatarRT_sub_18,ses_02,IM,final-first,0.018347532496011426,0.039426141690453546,0.014801827175476567
104,avatarRT_sub_18,ses_04,WMP,final-first,0.03606817340301793,0.029357450913799016,-0.021798137049083288
107,avatarRT_sub_18,ses_03,OMP,final-first,-0.021896065730504857,-0.018563406922752046,-0.12054586213939358
110,avatarRT_sub_19,ses_02,IM,final-first,0.07688235842769103,0.05677233161472356,-0.009929236382755113
113,avatarRT_sub_19,ses_03,WMP,final-first,-0.023768915769780657,-0.009688520301465886,0.027405257676245437
116,avatarRT_sub_19,ses_04,OMP,final-first,-0.08019945207624646,-0.08907671253872038,-0.049473539824272744
119,avatarRT_sub_21,ses_02,IM,final-first,0.022037901381800118,0.05096960416570187,-0.008457723001935036
122,avatarRT_sub_21,ses_03,WMP,final-first,-0.004067701513976486,-0.008854200809882182,-0.0773966941344852
125,avatarRT_sub_21,ses_04,OMP,final-first,0.03603134074335054,0.0031415294266708416,0.0016466036951754137
128,avatarRT_sub_22,ses_02,IM,final-first,-0.06601774545682457,-0.027958118842622712,0.032370257430399604
131,avatarRT_sub_22,ses_04,WMP,final-first,0.012252241623922591,2.3766138955688687e-05,-0.009313736005261641
134,avatarRT_sub_22,ses_03,OMP,final-first,-0.03191104191668803,-0.021292131139266354,-0.025759136153702816
137,avatarRT_sub_23,ses_02,IM,final-first,0.00854916084083071,0.03156866687979708,0.0021564246496310613
140,avatarRT_sub_23,ses_03,WMP,final-first,0.031039474652743593,0.02215260763901865,0.023713672970313585
143,avatarRT_sub_23,ses_04,OMP,final-first,-0.004306619183567423,0.003616015346986745,-0.006448968232167368
146,avatarRT_sub_24,ses_02,IM,final-first,0.12267662287186563,0.11353298086971361,0.050764706798071824
149,avatarRT_sub_24,ses_03,WMP,final-first,-0.04597411356286252,-0.03616683391756116,-0.013288076875184018
152,avatarRT_sub_24,ses_04,OMP,final-first,0.005158291547860183,0.03650910119619079,-0.048264481222616076
155,avatarRT_sub_25,ses_02,IM,final-first,0.05632862754618233,0.06310429217087445,0.05759105097574793
158,avatarRT_sub_25,ses_04,WMP,final-first,-0.007463802711808631,0.004941509168044436,-0.04177317427104761
161,avatarRT_sub_25,ses_03,OMP,final-first,-0.025640980589639498,-0.02097619061201679,-0.02854714271898752
