,subject_id,sesA,sesB,gw2
0,avatarRT_sub_05,joystick,IM,5.644080713547057e-05
1,avatarRT_sub_05,joystick,WMP,9.045744824110541e-05
2,avatarRT_sub_05,joystick,OMP,5.86226200842948e-05
3,avatarRT_sub_05,WMP,IM,4.106002905857465e-05
4,avatarRT_sub_05,WMP,OMP,7.528831921015594e-05
5,avatarRT_sub_06,joystick,IM,5.7060523836561726e-05
6,avatarRT_sub_06,joystick,WMP,0.000235473203407168
7,avatarRT_sub_06,joystick,OMP,7.760461029285823e-05
8,avatarRT_sub_06,WMP,IM,0.0002703025416297027
9,avatarRT_sub_06,WMP,OMP,0.0003058186438825349
10,avatarRT_sub_07,joystick,IM,0.00010789527290383151
11,avatarRT_sub_07,joystick,WMP,8.992812601661904e-05
12,avatarRT_sub_07,joystick,OMP,0.0001438200907669307
13,avatarRT_sub_07,WMP,IM,3.9552528226440944e-05
14,avatarRT_sub_07,WMP,OMP,4.124391426407144e-05
15,avatarRT_sub_08,joystick,IM,0.00018891798291348837
16,avatarRT_sub_08,joystick,WMP,0.00013312072154604413
17,avatarRT_sub_08,joystick,OMP,0.00017368466134574123
18,avatarRT_sub_08,WMP,IM,5.7088134005359285e-05
19,avatarRT_sub_08,WMP,OMP,6.680659059828505e-05
20,avatarRT_sub_10,joystick,IM,5.1752728493239144e-05
21,avatarRT_sub_10,joystick,WMP,4.6628312097573386e-05
22,avatarRT_sub_10,joystick,OMP,7.726357037490324e-05
23,avatarRT_sub_10,WMP,IM,2.7360727047919843e-05
24,avatarRT_sub_10,WMP,OMP,3.825692517269731e-05
25,avatarRT_sub_11,joystick,IM,0.0004772037954523768
26,avatarRT_sub_11,joystick,WMP,0.0002410566225901104
27,avatarRT_sub_11,joystick,OMP,0.00026861594787114663
28,avatarRT_sub_11,WMP,IM,0.0001329788736378893
29,avatarRT_sub_11,WMP,OMP,2.267229482949511e-05
30,avatarRT_sub_13,joystick,IM,8.797786146278442e-05
31,avatarRT_sub_13,joystick,WMP,8.719217808351376e-05
32,avatarRT_sub_13,joystick,OMP,0.0001427499442078117
33,avatarRT_sub_13,WMP,IM,3.70769941554307e-05
34,avatarRT_sub_13,WMP,OMP,6.382962064575692e-05
35,avatarRT_sub_14,joystick,IM,0.0003565720934085957
36,avatarRT_sub_14,joystick,WMP,0.0002375405960623041
37,avatarRT_sub_14,joystick,OMP,0.0002325968222796776
38,avatarRT_sub_14,WMP,IM,0.0001987591336398585
39,avatarRT_sub_14,WMP,OMP,2.2258442026123572e-05
40,avatarRT_sub_15,joystick,IM,0.00015619629087708896
41,avatarRT_sub_15,joystick,WMP,0.00023326222774302128
42,avatarRT_sub_15,joystick,OMP,0.00021369207442276366
43,avatarRT_sub_15,WMP,IM,3.992921917655037e-05
44,avatarRT_sub_15,WMP,OMP,2.980576622044992e-05
45,avatarRT_sub_16,joystick,IM,0.0002425989125868731
46,avatarRT_sub_16,joystick,WMP,0.0002647002200136248
47,avatarRT_sub_16,joystick,OMP,0.00025339497283362783
48,avatarRT_sub_16,WMP,IM,3.9068908917794266e-05
49,avatarRT_sub_16,WMP,OMP,2.8991992147560418e-05
50,avatarRT_sub_17,joystick,IM,0.00010135503317837992
51,avatarRT_sub_17,joystick,WMP,8.451023589480262e-05
52,avatarRT_sub_17,joystick,OMP,0.0001135162260612814
53,avatarRT_sub_17,WMP,IM,3.9713236667775205e-05
54,avatarRT_sub_17,WMP,OMP,3.745164643600334e-05
55,avatarRT_sub_18,joystick,IM,9.839203136549125e-05
56,avatarRT_sub_18,joystick,WMP,0.00011042074458307187
57,avatarRT_sub_18,joystick,OMP,0.00012310350698622137
58,avatarRT_sub_18,WMP,IM,3.801147917413297e-05
