subject_id,session_type,proportion,MSE,true_score,instantaneous_density,proportional_density,max_normed_density,z,pval_2t,metric,simulated_change,percentile,absolute_z
avatarRT_sub_05,IM,BC,0.002956874,-0.003797226,0.000161596,-0.004882108,5.78E-06,-3.872307245,0.00010781,variance,subselection,0.99999998,3.872307245
avatarRT_sub_05,IM,BC,0.000519532,-0.003797226,14.25663406,0.556327234,0.558196235,-1.087924785,0.276628313,variance,realignment,0.73399998,1.087924785
avatarRT_sub_05,WMP,BC,0.004613155,0.012133764,8.18E-05,-0.004067678,3.11E-06,-4.370112865,1.24E-05,variance,subselection,0.99999998,4.370112865
avatarRT_sub_05,WMP,BC,0.000424783,0.012133764,21.0890219,0.996903985,0.996958886,-0.547723353,0.583881875,variance,realignment,0.35199998,0.547723353
avatarRT_sub_06,IM,BC,0.000817041,0.066698926,10.05481828,0.456471095,0.459959903,1.205358108,0.228065086,variance,subselection,0.75200002,1.205358108
avatarRT_sub_06,IM,BC,0.010337952,0.066698926,2.53E-23,-0.009086239,1.07E-24,5.952743462,2.64E-09,variance,realignment,1.00000002,5.952743462
avatarRT_sub_06,WMP,BC,0.01160969,-0.085016667,2.41E-187,-0.015278537,6.46E-189,-10.24578222,1.24E-24,variance,subselection,0.99999998,10.24578222
avatarRT_sub_06,WMP,BC,0.008206158,-0.085016667,2.96E-100,-0.008354143,8.91E-102,-8.098310698,5.57E-16,variance,realignment,0.99999998,8.098310698
avatarRT_sub_07,IM,BC,0.013857536,-0.021655315,6.80E-33,-0.005048524,3.17E-34,-6.312754338,2.74E-10,variance,subselection,0.99999998,6.312754338
avatarRT_sub_07,IM,BC,0.00069871,-0.021655315,12.31134008,0.510644664,0.514985633,-1.22140927,0.221931099,variance,realignment,0.78199998,1.22140927
avatarRT_sub_07,WMP,BC,0.006262352,-0.035884064,0.000926891,-0.009367322,4.74E-05,-3.605303612,0.000311788,variance,subselection,0.99999998,3.605303612
avatarRT_sub_07,WMP,BC,0.009818987,-0.035884064,0.003917406,-0.004894329,0.000244024,3.986847446,6.70E-05,variance,realignment,1.00000002,3.986847446
avatarRT_sub_08,IM,BC,0.023329449,-0.042763355,1.12E-21,-0.004182272,5.91E-23,-7.53380783,4.93E-14,variance,subselection,0.99999998,7.53380783
avatarRT_sub_08,IM,BC,0.000643464,-0.042763355,14.89103595,0.826865461,0.82936339,-0.654970953,0.512486456,variance,realignment,0.46199998,0.654970953
avatarRT_sub_08,WMP,BC,0.000907299,-0.013668953,4.323176541,0.143209218,0.146615156,-1.964567947,0.049464265,variance,subselection,0.95399998,1.964567947
avatarRT_sub_08,WMP,BC,0.000362549,-0.013668953,20.65356857,0.988910491,0.98901727,-0.180893982,0.856450792,variance,realignment,0.11999998,0.180893982
avatarRT_sub_10,IM,BC,0.012985084,-0.02879339,6.03E-23,-0.005261604,2.86E-24,-5.909460346,3.43E-09,variance,subselection,0.99999998,5.909460346
avatarRT_sub_10,IM,BC,0.001128997,-0.02879339,2.174685138,0.064648432,0.071820555,-2.291324038,0.021944679,variance,realignment,0.98799998,2.291324038
avatarRT_sub_10,WMP,BC,0.000575652,0.003498163,13.9968289,0.592199831,0.596760356,-0.974550391,0.329783332,variance,subselection,0.68199998,0.974550391
avatarRT_sub_10,WMP,BC,0.017189659,0.003498163,4.28E-12,-0.004028123,2.29E-13,6.103223165,1.04E-09,variance,realignment,1.00000002,6.103223165
avatarRT_sub_11,IM,BC,0.000317128,0.05949057,18.84242491,0.554972176,0.556952973,1.179725234,0.238109514,variance,subselection,0.75600002,1.179725234
avatarRT_sub_11,IM,BC,0.003062626,0.05949057,0.560377734,0.004216798,0.024350129,3.051709756,0.00227542,variance,realignment,0.99800002,3.051709756
avatarRT_sub_11,WMP,BC,0.00016828,0.003268552,30.35976086,0.911693221,0.913208634,-0.569168691,0.569241666,variance,subselection,0.39999998,0.569168691
avatarRT_sub_11,WMP,BC,0.000471224,0.003268552,17.20507002,0.955794862,0.956242004,0.068013968,0.945774516,variance,realignment,0.08600002,0.068013968
avatarRT_sub_13,IM,BC,0.016549251,-0.020173255,1.32E-22,-0.004888285,6.95E-24,-5.873385257,4.27E-09,variance,subselection,0.99999998,5.873385257
avatarRT_sub_13,IM,BC,0.000714583,-0.020173255,13.09379268,0.678571071,0.680946365,-0.818186471,0.413250719,variance,realignment,0.59799998,0.818186471
avatarRT_sub_13,WMP,BC,0.013443877,0.124105945,0,-0.011199322,0,14.44686691,2.62E-47,variance,subselection,1.00000002,14.44686691
avatarRT_sub_13,WMP,BC,0.002270405,0.124105945,3.057998873,0.163539436,0.174794184,1.988548865,0.04675102,variance,realignment,0.93000002,1.988548865
avatarRT_sub_14,IM,BC,0.002295053,0.01184683,0.006838226,-0.013768439,0.000226924,-3.502916096,0.000460194,variance,subselection,0.99999998,3.502916096
avatarRT_sub_14,IM,BC,0.000654723,0.01184683,14.14806801,0.76730427,0.769150784,0.727629619,0.466840344,variance,realignment,0.52200002,0.727629619
avatarRT_sub_14,WMP,BC,0.015089396,-0.08639695,4.53E-70,-0.009092367,1.80E-71,-7.69137352,1.46E-14,variance,subselection,0.99999998,7.69137352
avatarRT_sub_14,WMP,BC,0.006746388,-0.08639695,1.59E-15,-0.003871838,5.76E-17,-5.420602828,5.94E-08,variance,realignment,0.99999998,5.420602828
avatarRT_sub_15,IM,BC,0.029161316,-0.090239286,2.35E-197,-0.009573477,9.94E-199,-10.67735777,1.30E-26,variance,subselection,0.99999998,10.67735777
avatarRT_sub_15,IM,BC,0.008215368,-0.090239286,2.85E-32,-0.008994426,1.11E-33,-5.888679191,3.89E-09,variance,realignment,0.99999998,5.888679191
avatarRT_sub_15,WMP,BC,0.006737967,-0.051370397,3.57E-71,-0.004102381,9.93E-73,-7.486845902,7.05E-14,variance,subselection,0.99999998,7.486845902
