,embedding_type,metric,subject_id,embedding_dim,score
0,voxel,himalaya,avatarRT_sub_05,20,2.817185571
1,voxel,himalaya,avatarRT_sub_06,20,2.886417576
2,voxel,himalaya,avatarRT_sub_07,20,2.537644955
3,voxel,himalaya,avatarRT_sub_08,20,2.179813517
5,voxel,himalaya,avatarRT_sub_10,20,1.869402567
6,voxel,himalaya,avatarRT_sub_11,20,2.838045882
7,voxel,himalaya,avatarRT_sub_13,20,2.858851101
8,voxel,himalaya,avatarRT_sub_14,20,5.100783823
9,voxel,himalaya,avatarRT_sub_15,20,2.569172439
10,voxel,himalaya,avatarRT_sub_16,20,2.325246487
11,voxel,himalaya,avatarRT_sub_17,20,3.272896392
12,voxel,himalaya,avatarRT_sub_18,20,2.461294248
13,voxel,himalaya,avatarRT_sub_19,20,2.484984416
15,voxel,himalaya,avatarRT_sub_21,20,3.576299036
16,voxel,himalaya,avatarRT_sub_22,20,3.676327606
17,voxel,himalaya,avatarRT_sub_23,20,3.353170397
18,voxel,himalaya,avatarRT_sub_24,20,2.4618844
19,voxel,himalaya,avatarRT_sub_25,20,2.785734754
20,voxel,p,avatarRT_sub_05,20,0.733
21,voxel,p,avatarRT_sub_06,20,0.231
22,voxel,p,avatarRT_sub_07,20,0.028
23,voxel,p,avatarRT_sub_08,20,0.099
25,voxel,p,avatarRT_sub_10,20,0.995
26,voxel,p,avatarRT_sub_11,20,0.206
27,voxel,p,avatarRT_sub_13,20,0.246
28,voxel,p,avatarRT_sub_14,20,0.028
29,voxel,p,avatarRT_sub_15,20,0.054
30,voxel,p,avatarRT_sub_16,20,0.03
31,voxel,p,avatarRT_sub_17,20,0.026
32,voxel,p,avatarRT_sub_18,20,0.061
33,voxel,p,avatarRT_sub_19,20,0.386
35,voxel,p,avatarRT_sub_21,20,0.334
36,voxel,p,avatarRT_sub_22,20,0.498
37,voxel,p,avatarRT_sub_23,20,0.52
38,voxel,p,avatarRT_sub_24,20,0.756
39,voxel,p,avatarRT_sub_25,20,0.031
40,voxel,r,avatarRT_sub_05,20,-0.002273947
41,voxel,r,avatarRT_sub_06,20,0.002456214
42,voxel,r,avatarRT_sub_07,20,0.007619847
43,voxel,r,avatarRT_sub_08,20,0.005710962
45,voxel,r,avatarRT_sub_10,20,-0.013222142
46,voxel,r,avatarRT_sub_11,20,0.002227637
47,voxel,r,avatarRT_sub_13,20,0.001646131
48,voxel,r,avatarRT_sub_14,20,0.005186984
49,voxel,r,avatarRT_sub_15,20,0.010570952
50,voxel,r,avatarRT_sub_16,20,0.005920815
51,voxel,r,avatarRT_sub_17,20,0.006103778
52,voxel,r,avatarRT_sub_18,20,0.007110491
53,voxel,r,avatarRT_sub_19,20,0.000842085
55,voxel,r,avatarRT_sub_21,20,0.001113814
56,voxel,r,avatarRT_sub_22,20,-9.19e-05
57,voxel,r,avatarRT_sub_23,20,-7.23e-05
58,voxel,r,avatarRT_sub_24,20,-0.002076101
59,voxel,r,avatarRT_sub_25,20,0.004274756
60,voxel,z,avatarRT_sub_05,20,-0.612217764
61,voxel,z,avatarRT_sub_06,20,0.734679072
62,voxel,z,avatarRT_sub_07,20,2.019282201
63,voxel,z,avatarRT_sub_08,20,1.333910013
65,voxel,z,avatarRT_sub_10,20,-2.398944865
66,voxel,z,avatarRT_sub_11,20,0.812900077
67,voxel,z,avatarRT_sub_13,20,0.676482263
68,voxel,z,avatarRT_sub_14,20,2.041964986
69,voxel,z,avatarRT_sub_15,20,1.649528638
70,voxel,z,avatarRT_sub_16,20,1.877795239
71,voxel,z,avatarRT_sub_17,20,2.03056298
72,voxel,z,avatarRT_sub_18,20,1.51892722
