embedding_type,metric,subject_id,embedding_dim,score
voxel,himalaya,avatarRT_sub_05,20,2.817185571
voxel,himalaya,avatarRT_sub_06,20,2.886417576
voxel,himalaya,avatarRT_sub_07,20,2.537644955
voxel,himalaya,avatarRT_sub_08,20,2.179813517
voxel,himalaya,avatarRT_sub_09,20,2.47434814
voxel,himalaya,avatarRT_sub_10,20,1.869402567
voxel,himalaya,avatarRT_sub_11,20,2.838045882
voxel,himalaya,avatarRT_sub_13,20,2.858851101
voxel,himalaya,avatarRT_sub_14,20,5.100783823
voxel,himalaya,avatarRT_sub_15,20,2.569172439
voxel,himalaya,avatarRT_sub_16,20,2.325246487
voxel,himalaya,avatarRT_sub_17,20,3.272896392
voxel,himalaya,avatarRT_sub_18,20,2.461294248
voxel,himalaya,avatarRT_sub_19,20,2.484984416
voxel,himalaya,avatarRT_sub_20,20,1.604171148
voxel,himalaya,avatarRT_sub_21,20,3.576299036
voxel,himalaya,avatarRT_sub_22,20,3.676327606
voxel,himalaya,avatarRT_sub_23,20,3.353170397
voxel,himalaya,avatarRT_sub_24,20,2.4618844
voxel,himalaya,avatarRT_sub_25,20,2.785734754
voxel,p,avatarRT_sub_05,20,0.733
voxel,p,avatarRT_sub_06,20,0.231
voxel,p,avatarRT_sub_07,20,0.028
voxel,p,avatarRT_sub_08,20,0.099
voxel,p,avatarRT_sub_09,20,0.002
voxel,p,avatarRT_sub_10,20,0.995
voxel,p,avatarRT_sub_11,20,0.206
voxel,p,avatarRT_sub_13,20,0.246
voxel,p,avatarRT_sub_14,20,0.028
voxel,p,avatarRT_sub_15,20,0.054
voxel,p,avatarRT_sub_16,20,0.03
voxel,p,avatarRT_sub_17,20,0.026
voxel,p,avatarRT_sub_18,20,0.061
voxel,p,avatarRT_sub_19,20,0.386
voxel,p,avatarRT_sub_20,20,0.757
voxel,p,avatarRT_sub_21,20,0.334
voxel,p,avatarRT_sub_22,20,0.498
voxel,p,avatarRT_sub_23,20,0.52
