,session_type,session_id,delta_total_variance,delta_average_variance,data_type,subject_id
0,IM,ses_02,-0.0057358435574847155,0.03975372953047816,manifold_projection,avatarRT_sub_05
1,IM,ses_02,0.3890180636712488,0.5031804179416145,voxel_data,avatarRT_sub_05
2,IM,ses_02,-0.010128949955241467,0.03976545975511499,component_data,avatarRT_sub_05
3,WMP,ses_03,-0.0013173159521856215,0.0019425968028162627,manifold_projection,avatarRT_sub_05
4,WMP,ses_03,-0.15749599794980584,-0.13821265327447707,voxel_data,avatarRT_sub_05
5,WMP,ses_03,-0.0018372594591293534,0.0018500163309798645,component_data,avatarRT_sub_05
6,OMP,ses_04,-0.013254647086487159,-0.001711559906714441,manifold_projection,avatarRT_sub_05
7,OMP,ses_04,-0.043830661742144006,0.06725955609606915,voxel_data,avatarRT_sub_05
8,OMP,ses_04,-0.012627526768559369,-0.002745460124528698,component_data,avatarRT_sub_05
9,IM,ses_02,-0.034071190572165955,0.016288535433681237,manifold_projection,avatarRT_sub_06
10,IM,ses_02,0.05433353013522102,0.27251563759114905,voxel_data,avatarRT_sub_06
11,IM,ses_02,-0.031188888741606163,0.0176627023619102,component_data,avatarRT_sub_06
12,WMP,ses_04,0.01945402294721442,0.01664904102482931,manifold_projection,avatarRT_sub_06
13,WMP,ses_04,-0.02392068238049949,-0.012396712326867343,voxel_data,avatarRT_sub_06
14,WMP,ses_04,0.019984337131372168,0.017548111367465313,component_data,avatarRT_sub_06
15,OMP,ses_03,-0.0947345777525585,-0.05246994714398673,manifold_projection,avatarRT_sub_06
16,OMP,ses_03,0.001856423463404644,0.09623373992690853,voxel_data,avatarRT_sub_06
17,OMP,ses_03,-0.09036338197237306,-0.052692773938277176,component_data,avatarRT_sub_06
18,IM,ses_02,0.002861871474675065,0.007769687603902203,manifold_projection,avatarRT_sub_07
19,IM,ses_02,-0.3586608248914027,-0.1668756003748817,voxel_data,avatarRT_sub_07
20,IM,ses_02,0.002607757668792038,0.007028914805423003,component_data,avatarRT_sub_07
21,WMP,ses_03,0.03112917342871338,0.019260443832041826,manifold_projection,avatarRT_sub_07
22,WMP,ses_03,0.06327691223035514,0.05499224127664526,voxel_data,avatarRT_sub_07
23,WMP,ses_03,0.03111916604374139,0.019673592606263862,component_data,avatarRT_sub_07
24,OMP,ses_04,-0.005704122450641266,-0.011280259904082698,manifold_projection,avatarRT_sub_07
